time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765444330689;0;0;0;0;0;0;64;1
1765444331711;0;0;0;0;0;0;65;1
1765444332231;0;0;0;0;0;0;65;0
1765444337271;0;0;0;0;0;0;65;1
1765444337631;0;0;0;0;0;0;65;0
1765444344190;0;0;0;0;0;0;65;1
1765444345211;0;0;0;0;0;0;66;1
1765444345731;0;0;0;0;0;0;66;0
1765444350771;0;0;0;0;0;0;66;1
1765444351131;0;0;0;0;0;0;66;0
1765444357690;0;0;0;0;0;0;66;1
1765444358731;0;0;0;0;0;0;67;1
1765444359231;0;0;0;0;0;0;67;0
1765444364271;0;0;0;0;0;0;67;1
1765444364631;0;0;0;0;0;0;67;0
1765444371191;0;0;0;0;0;0;67;1
1765444372211;0;0;0;0;0;0;68;1
1765444372731;0;0;0;0;0;0;68;0
1765444377771;0;0;0;0;0;0;68;1
1765444378131;0;0;0;0;0;0;68;0
1765444384691;0;0;0;0;0;0;68;1
1765444385711;0;0;0;0;0;0;69;1
1765444386231;0;0;0;0;0;0;69;0
1765444391271;0;0;0;0;0;0;69;1
1765444391631;0;0;0;0;0;0;69;0
1765444398192;0;0;0;0;0;0;69;1
1765444399211;0;0;0;0;0;0;70;1
1765444399731;0;0;0;0;0;0;70;0
1765444404771;0;0;0;0;0;0;70;1
1765444405131;0;0;0;0;0;0;70;0
1765444411692;0;0;0;0;0;0;70;1
1765444412711;0;0;0;0;0;0;71;1
1765444413231;0;0;0;0;0;0;71;0
1765444418271;0;0;0;0;0;0;71;1
1765444418631;0;0;0;0;0;0;71;0
1765444425193;0;0;0;0;0;0;71;1
1765444426211;0;0;0;0;0;0;72;1
1765444426731;0;0;0;0;0;0;72;0
1765444431771;0;0;0;0;0;0;72;1
1765444432131;0;0;0;0;0;0;72;0
1765444438693;0;0;0;0;0;0;72;1
1765444439711;0;0;0;0;0;0;73;1
1765444440231;0;0;0;0;0;0;73;0
1765444445271;0;0;0;0;0;0;73;1
1765444445631;0;0;0;0;0;0;73;0
1765444452194;0;0;0;0;0;0;73;1
1765444453231;0;0;0;0;0;0;74;1
1765444453731;0;0;0;0;0;0;74;0
1765444458771;0;0;0;0;0;0;74;1
1765444459151;0;0;0;0;0;0;74;0
1765444465694;0;0;0;0;0;0;74;1
1765444466731;0;0;0;0;0;0;75;1
1765444467231;0;0;0;0;0;0;75;0
1765444472271;0;0;0;0;0;0;75;1
1765444472631;0;0;0;0;0;0;75;0
1765444479195;0;0;0;0;0;0;75;1
1765444480211;0;0;0;0;0;0;76;1
1765444480731;0;0;0;0;0;0;76;0
1765444485771;0;0;0;0;0;0;76;1
1765444486131;0;0;0;0;0;0;76;0
1765444492695;0;0;0;0;0;0;76;1
1765444493711;0;0;0;0;0;0;77;1
1765444494231;0;0;0;0;0;0;77;0
1765444499271;0;0;0;0;0;0;77;1
1765444499631;0;0;0;0;0;0;77;0
1765444506196;0;0;0;0;0;0;77;1
1765444507231;0;0;0;0;0;0;78;1
1765444507731;0;0;0;0;0;0;78;0
1765444512771;0;0;0;0;0;0;78;1
1765444513131;0;0;0;0;0;0;78;0
1765444519696;0;0;0;0;0;0;78;1
1765444520711;0;0;0;0;0;0;79;1
1765444521231;0;0;0;0;0;0;79;0
1765444526271;0;0;0;0;0;0;79;1
1765444526651;0;0;0;0;0;0;79;0
1765444533197;0;0;0;0;0;0;79;1
1765444534231;0;0;0;0;0;0;80;1
1765444534731;0;0;0;0;0;0;80;0
1765444539771;0;0;0;0;0;0;80;1
1765444540131;0;0;0;0;0;0;80;0
1765444546697;0;0;0;0;0;0;80;1
1765444547751;0;0;0;0;0;0;81;1
1765444548231;0;0;0;0;0;0;81;0
1765444553271;0;0;0;0;0;0;81;1
1765444553631;0;0;0;0;0;0;81;0
1765444560198;0;0;0;0;0;0;81;1
1765444561231;0;0;0;0;0;0;82;1
1765444561731;0;0;0;0;0;0;82;0
1765444566771;0;0;0;0;0;0;82;1
1765444567151;0;0;0;0;0;0;82;0
1765444573698;0;0;0;0;0;0;82;1
1765444574731;0;0;0;0;0;0;83;1
1765444575231;0;0;0;0;0;0;83;0
1765444580271;0;0;0;0;0;0;83;1
1765444580631;0;0;0;0;0;0;83;0
1765444587199;0;0;0;0;0;0;83;1
1765444588211;0;0;0;0;0;0;84;1
1765444588731;0;0;0;0;0;0;84;0
1765444593771;0;0;0;0;0;0;84;1
1765444594151;0;0;0;0;0;0;84;0
1765444600699;0;0;0;0;0;0;84;1
1765444601751;0;0;0;0;0;0;85;1
1765444602231;0;0;0;0;0;0;85;0
1765444607271;0;0;0;0;0;0;85;1
1765444607631;0;0;0;0;0;0;85;0
1765444614200;0;0;0;0;0;0;85;1
1765444615251;0;0;0;0;0;0;86;1
1765444615731;0;0;0;0;0;0;86;0
1765444620771;0;0;0;0;0;0;86;1
1765444621131;0;0;0;0;0;0;86;0
